unique_id,Property Address,Floor,Suite,Size (SF),Rent/SF/Year,Associate 1,BROKER Email ID,Associate 2,Associate 3,Associate 4,Annual Rent,Monthly Rent,GCI On 3 Years
159,1162 Broadway,E6,600,12898,$110.00,Elizabeth Swann,test2@okadaco.com,Jon Snow,Georgie Cooper,Oscar Piastri,"$1,418,780","$118,232","$255,380"
160,1162 Broadway,E7,700,14018,$105.00,Davy Jones,test2@okadaco.com,Daenerys Targaryen,Dr. Sturgis,Oscar Piastri,"$1,471,890","$122,658","$264,940"
161,1271-1273 Broadway,E4,P4,18782,$105.00,Jack Sparrow,test2@okadaco.com,Cersei Lannister,Missy Cooper,Sergio Perez,"$1,972,110","$164,343","$354,980"
162,139 Fifth Ave,E2,200,16211,$86.00,Cutler Beckett,test2@okadaco.com,Daenerys Targaryen,Pastor Jeff,Max Verstappen,"$1,394,146","$116,179","$250,946"
163,139 Fifth Ave,E5,500,18384,$82.00,Davy Jones,test2@okadaco.com,Bran Stark,Meemaw,Daniel Ricciardo,"$1,507,488","$125,624","$271,348"
164,139 Fifth Ave,E6,600,15661,$99.00,Tia Dalma,test2@okadaco.com,Jon Snow,Dr. Sturgis,Charles Leclerc,"$1,550,439","$129,203","$279,079"
165,104-110 E 40th St,P9,903,9070,$95.00,Tia Dalma,test2@okadaco.com,Bran Stark,Sheldon Cooper,Oscar Piastri,"$861,650","$71,804","$155,097"
166,22 W 32nd St,P9,900,10523,$93.00,Bootstrap Bill,test2@okadaco.com,Jaime Lannister,Meemaw,George Russell,"$978,639","$81,553","$176,155"
167,22 W 32nd St,E10,1000,14074,$102.00,Jack Sparrow,test2@okadaco.com,Sansa Stark,Brenda Sparks,Lando Norris,"$1,435,548","$119,629","$258,399"
168,22 W 32nd St,P11,1100,14633,$98.00,James Norrington,test2@okadaco.com,Jorah Mormont,Sheldon Cooper,George Russell,"$1,434,034","$119,503","$258,126"
169,22 W 32nd St,P14,1400,19852,$96.00,Jack Sparrow,test2@okadaco.com,Jaime Lannister,Meemaw,Charles Leclerc,"$1,905,792","$158,816","$343,043"
170,137 W 19th St,-,640,16542,$81.00,Bootstrap Bill,test2@okadaco.com,Jaime Lannister,Missy Cooper,Lando Norris,"$1,339,902","$111,659","$241,182"
171,147-149 W 46th St,-,594,14932,$89.00,Jack Sparrow,test2@okadaco.com,The Hound,Dr. Linkletter,Fernando Alonso,"$1,328,948","$110,746","$239,211"
172,28 W 30th St,P3,302,13149,$80.00,Elizabeth Swann,test2@okadaco.com,The Hound,Missy Cooper,Carlos Sainz,"$1,051,920","$87,660","$189,346"
173,29 W 36th St,P4,401,14526,$106.00,Davy Jones,test2@okadaco.com,Jorah Mormont,Mary Cooper,Carlos Sainz,"$1,539,756","$128,313","$277,156"
174,29 W 36th St,P5,5E,14905,$82.00,Jack Sparrow,test2@okadaco.com,Jaime Lannister,Mary Cooper,Fernando Alonso,"$1,222,210","$101,851","$219,998"
175,29 W 36th St,P5,5T,16467,$86.00,Elizabeth Swann,test2@okadaco.com,Jorah Mormont,Dr. Sturgis,Lando Norris,"$1,416,162","$118,014","$254,909"
176,29 W 36th St,P5,5W,19645,$100.00,Elizabeth Swann,test2@okadaco.com,Cersei Lannister,Missy Cooper,Oscar Piastri,"$1,964,500","$163,708","$353,610"
177,29 W 36th St,P8,804,15917,$93.00,Cutler Beckett,test2@okadaco.com,The Hound,Georgie Cooper,Lewis Hamilton,"$1,480,281","$123,357","$266,451"
178,16 E 52nd St,P4,403,9580,$106.00,Davy Jones,test2@okadaco.com,Sansa Stark,Georgie Cooper,Oscar Piastri,"$1,015,480","$84,623","$182,786"
179,16 E 52nd St,P7,702,14159,$87.00,James Norrington,test2@okadaco.com,Jon Snow,Missy Cooper,Daniel Ricciardo,"$1,231,833","$102,653","$221,730"
180,16 E 52nd St,E15,E15,11882,$98.00,Davy Jones,test2@okadaco.com,Tyrion Lannister,Dr. Linkletter,Oscar Piastri,"$1,164,436","$97,036","$209,598"
181,16 E 52nd St,E16,E16,12413,$109.00,Joshamee Gibbs,test2@okadaco.com,Arya Stark,Pastor Jeff,Charles Leclerc,"$1,353,017","$112,751","$243,543"
182,500 Fifth Ave,E42,4200,17888,$93.00,Cutler Beckett,test2@okadaco.com,Sansa Stark,Dr. Linkletter,Max Verstappen,"$1,663,584","$138,632","$299,445"
183,11 W 25th St,E GRND,RETL,11294,$92.00,James Norrington,test2@okadaco.com,Sansa Stark,Dr. Linkletter,Lewis Hamilton,"$1,039,048","$86,587","$187,029"
184,11 W 25th St,E4,400,18564,$91.00,Bootstrap Bill,test2@okadaco.com,Arya Stark,Meemaw,Carlos Sainz,"$1,689,324","$140,777","$304,078"
185,11 W 25th St,E7,700,11939,$104.00,Joshamee Gibbs,test2@okadaco.com,Jaime Lannister,Mary Cooper,Daniel Ricciardo,"$1,241,656","$103,471","$223,498"
186,11 W 25th St,E11,1100,12310,$86.00,Jack Sparrow,test2@okadaco.com,Arya Stark,Brenda Sparks,George Russell,"$1,058,660","$88,222","$190,559"
187,40 W 37th St,P1,Store A,12937,$107.00,Will Turner,test2@okadaco.com,Bran Stark,Brenda Sparks,George Russell,"$1,384,259","$115,355","$249,167"
188,535-547 W 45th St,P8,800,17085,$97.00,Jack Sparrow,test2@okadaco.com,The Hound,Sheldon Cooper,Carlos Sainz,"$1,657,245","$138,104","$298,304"
189,255 Fifth Ave,E3,300,12280,$96.00,Jack Sparrow,test2@okadaco.com,Jaime Lannister,Mary Cooper,Carlos Sainz,"$1,178,880","$98,240","$212,198"
190,255 Fifth Ave,E4,400,13701,$87.00,Will Turner,test2@okadaco.com,Bran Stark,George Cooper Sr.,Max Verstappen,"$1,191,987","$99,332","$214,558"
191,255 Fifth Ave,E5,500,18361,$91.00,Elizabeth Swann,test2@okadaco.com,The Hound,Missy Cooper,Lewis Hamilton,"$1,670,851","$139,238","$300,753"
192,227-229 W 29th St,P3,3F,12187,$82.00,Joshamee Gibbs,test2@okadaco.com,The Hound,Brenda Sparks,Lando Norris,"$999,334","$83,278","$179,880"
193,227-229 W 29th St,P4,4R,9662,$109.00,Elizabeth Swann,test2@okadaco.com,Jaime Lannister,Dr. Linkletter,Lewis Hamilton,"$1,053,158","$87,763","$189,568"
194,227-229 W 29th St,E7,700,17062,$80.00,Hector Barbossa,test2@okadaco.com,Tyrion Lannister,George Cooper Sr.,Fernando Alonso,"$1,364,960","$113,747","$245,693"
195,227-229 W 29th St,E12,1200,15668,$87.00,Elizabeth Swann,test2@okadaco.com,Jorah Mormont,Mary Cooper,Max Verstappen,"$1,363,116","$113,593","$245,361"
196,53 Pearl St,E2,200,9291,$85.00,Joshamee Gibbs,test2@okadaco.com,Sansa Stark,Sheldon Cooper,George Russell,"$789,735","$65,811","$142,152"
197,53 Pearl St,E4,400,16596,$85.00,Joshamee Gibbs,test2@okadaco.com,Sansa Stark,Brenda Sparks,Fernando Alonso,"$1,410,660","$117,555","$253,919"
198,247 W 30th St,P2,2F,12565,$104.00,Bootstrap Bill,test2@okadaco.com,Daenerys Targaryen,Sheldon Cooper,Carlos Sainz,"$1,306,760","$108,897","$235,217"
199,247 W 30th St,P3,3R,15946,$97.00,Hector Barbossa,test2@okadaco.com,The Hound,George Cooper Sr.,Sergio Perez,"$1,546,762","$128,897","$278,417"
200,247 W 30th St,P4,4F,17052,$91.00,Jack Sparrow,test2@okadaco.com,Jon Snow,Georgie Cooper,Lando Norris,"$1,551,732","$129,311","$279,312"
201,50 W 17th St,E 10,1000,16311,$109.00,Davy Jones,test2@okadaco.com,Jaime Lannister,Missy Cooper,Sergio Perez,"$1,777,899","$148,158","$320,022"
202,50 W 17th St,E12,PH,16402,$109.00,Davy Jones,test2@okadaco.com,Daenerys Targaryen,Meemaw,George Russell,"$1,787,818","$148,985","$321,807"
203,7 W 36th St,E12,1200,18828,$84.00,Joshamee Gibbs,test2@okadaco.com,Jon Snow,George Cooper Sr.,Sergio Perez,"$1,581,552","$131,796","$284,679"
204,8 W 38th St,P9,901,17330,$80.00,Hector Barbossa,test2@okadaco.com,Arya Stark,Dr. Sturgis,Max Verstappen,"$1,386,400","$115,533","$249,552"
205,8 W 38th St,P11,1102,17315,$93.00,Davy Jones,test2@okadaco.com,Tyrion Lannister,Dr. Linkletter,Fernando Alonso,"$1,610,295","$134,191","$289,853"
206,8 W 38th St,P11,1103,19892,$90.00,Tia Dalma,test2@okadaco.com,Jon Snow,Meemaw,Max Verstappen,"$1,790,280","$149,190","$322,250"
207,8 W 38th St,P11,1104,10179,$92.00,Jack Sparrow,test2@okadaco.com,Daenerys Targaryen,Sheldon Cooper,Daniel Ricciardo,"$936,468","$78,039","$168,564"
208,39-41 W 38th St,P5,5W,11624,$84.00,Tia Dalma,test2@okadaco.com,Jaime Lannister,Georgie Cooper,Lewis Hamilton,"$976,416","$81,368","$175,755"
209,39-41 W 38th St,P8,8W,19266,$89.00,Bootstrap Bill,test2@okadaco.com,Bran Stark,Brenda Sparks,Charles Leclerc,"$1,714,674","$142,890","$308,641"
210,42 W 38th St,P6,604,9717,$97.00,Cutler Beckett,test2@okadaco.com,Tyrion Lannister,Dr. Linkletter,Daniel Ricciardo,"$942,549","$78,546","$169,659"
211,42 W 38th St,P8,800,11791,$99.00,James Norrington,test2@okadaco.com,Cersei Lannister,Brenda Sparks,Lando Norris,"$1,167,309","$97,276","$210,116"
212,42 W 38th St,P10,1004,10100,$91.00,Will Turner,test2@okadaco.com,Jaime Lannister,Missy Cooper,Lewis Hamilton,"$919,100","$76,592","$165,438"
213,42 W 38th St,P12,1200,14832,$101.00,Bootstrap Bill,test2@okadaco.com,The Hound,Dr. Linkletter,Lewis Hamilton,"$1,498,032","$124,836","$269,646"
214,6 W 48th St,E4,400,11067,$83.00,Elizabeth Swann,test2@okadaco.com,Bran Stark,Mary Cooper,Fernando Alonso,"$918,561","$76,547","$165,341"
215,6 W 48th St,E5,500,14434,$102.00,Cutler Beckett,test2@okadaco.com,Jorah Mormont,Missy Cooper,Daniel Ricciardo,"$1,472,268","$122,689","$265,008"
216,6 W 48th St,E6,600,11712,$109.00,Hector Barbossa,test2@okadaco.com,Cersei Lannister,Sheldon Cooper,Fernando Alonso,"$1,276,608","$106,384","$229,789"
217,144 W 37th St,P4,400,15110,$104.00,Davy Jones,test2@okadaco.com,Jon Snow,Meemaw,George Russell,"$1,571,440","$130,953","$282,859"
218,144 W 37th St,P5,500,17572,$106.00,Elizabeth Swann,test2@okadaco.com,Daenerys Targaryen,Mary Cooper,Oscar Piastri,"$1,862,632","$155,219","$335,274"
219,40 W 38th St,P11,1008,17672,$84.00,Davy Jones,test2@okadaco.com,Daenerys Targaryen,Missy Cooper,Sergio Perez,"$1,484,448","$123,704","$267,201"
220,60 W 45th S,P11,788,19209,$88.00,Hector Barbossa,test2@okadaco.com,Jorah Mormont,Dr. Sturgis,Oscar Piastri,"$1,690,392","$140,866","$304,271"
221,412 Broadway,P5,792,16269,$109.00,Davy Jones,test2@okadaco.com,Jon Snow,George Cooper Sr.,Daniel Ricciardo,"$1,773,321","$147,777","$319,198"
222,135 W 52nd St,P8,1189,17050,$82.00,Davy Jones,test2@okadaco.com,Cersei Lannister,Sheldon Cooper,Fernando Alonso,"$1,398,100","$116,508","$251,658"
223,171 Elizabeth St,P6,768,19507,$107.00,Tia Dalma,test2@okadaco.com,Arya Stark,Sheldon Cooper,Oscar Piastri,"$2,087,249","$173,937","$375,705"
224,84 Mulberry St,P8,1118,9567,$101.00,Tia Dalma,test2@okadaco.com,Arya Stark,Dr. Linkletter,Charles Leclerc,"$966,267","$80,522","$173,928"
225,288-290 Water St,P10,1069,19133,$85.00,Joshamee Gibbs,test2@okadaco.com,Arya Stark,Dr. Sturgis,Lewis Hamilton,"$1,626,305","$135,525","$292,735"
